name,id,citation,h_index,i10_index,total_publication,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
Goncalo Abecasis,t53jWtYAAAAJ,304394,198,484,791,9015,32141,32989,28795,28135,25408,22463,20026,18646,16935,14591,12784,10562,7998,6767,5047,3313
Mark Newman,rQ68pVwAAAAJ,231114,108,204,302,3952,14672,15724,15734,15785,16169,15621,16541,15694,15544,14256,12602,11212,9673,8539,7127,6039
R. Bagozzi,r4ZImFAAAAAJ,198160,138,311,629,3619,15015,14710,14095,13123,12626,12334,12260,11264,10756,9832,8829,8040,6890,6547,5418,4860
Stephen R Forrest,gAP-9H8AAAAJ,172048,180,816,1610,2529,8706,9303,8108,8247,8420,8754,8798,10137,10053,9633,8810,8832,8203,8203,7386,6743
Bjoern Penning,dyMcPTIAAAAJ,165468,174,787,1799,2372,11691,13000,13354,15826,18454,17720,17563,14535,11118,11231,8646,4148,2381,1579,753,0
Michael Boehnke,nGgivIAAAAAJ,160809,164,429,718,4532,14934,15380,14086,14059,13719,12874,10632,9297,8567,7452,6801,5667,4273,3080,2281,1691
Gabriel Nuñez,aJnM7c0AAAAJ,147862,170,421,100,2927,10394,10388,9424,8564,7738,7544,6994,6789,6775,6840,6238,5655,4881,4536,4029,4010
Richard Nisbett,lqg2Op8AAAAJ,121552,104,205,391,971,4497,4628,4906,5248,5252,5524,5312,5357,5555,5761,4934,4280,4045,3707,3500,3328
Daniel J. Klionsky,pGGjfS8AAAAJ,120730,146,434,200,3214,10319,10546,9145,8371,7857,7815,8172,7560,7185,6338,6285,5056,4300,3636,3052,1968
Keith Riles,tSF6TrUAAAAJ,119850,140,589,100,5044,15838,15510,12640,11707,10567,7513,5101,2568,2315,2252,2241,1901,1563,1358,1436,1097
Brahmajee K Nallamothu,1mZ4KE0AAAAJ,118379,95,323,822,2186,8606,10103,11112,11577,11337,10579,10277,9149,8311,7125,5105,3536,2253,1616,1280,929
Albert Vernon Smith,8b-433kAAAAJ,108328,144,422,1214,2957,10346,10816,10207,10108,10019,9114,7911,6770,5994,5165,4490,3181,2076,1604,1502,1179
Haolu Feng,pbLSoBgAAAAJ,108676,133,268,617,1400,6362,7736,9230,13652,17087,15068,13554,9382,5594,4111,2404,1107,615,380,0,0
Matthew Corriere,ew_MbD0AAAAJ,103953,35,68,225,1819,7873,9236,10533,11651,11973,11696,11197,10191,8054,4930,2015,664,0,0,0,0
Robert Axelrod,eotJ3pwAAAAJ,98093,61,123,298,687,2904,3362,3323,3761,3842,4081,4259,4277,4294,4711,4124,4025,4099,3908,3741,3698
David W. Gerdes,LxqjDVQAAAAJ,97880,157,724,1461,2160,6588,5633,4999,5084,4627,3375,3355,3052,3234,4249,5125,5505,4741,4482,3759,2867
Christopher Peterson,GcLxtZAAAAAJ,96149,116,257,424,1415,6451,7009,6711,6593,6188,6118,5937,5629,5389,4643,3921,3371,2813,2538,2136,1891
Michael D. Cohen,hJDspasAAAAJ,95801,90,298,1411,1358,5721,7132,7970,8435,8283,7291,5911,3840,2952,3199,3187,3053,2324,1917,1733,1681
Anna Lok,79l6WlQAAAAJ,90286,142,540,1257,1531,4916,5237,4610,4425,4103,4257,5347,5401,5214,5018,4677,4382,4322,3767,3656,3387
Shinobu Kitayama,mWGwXc0AAAAJ,85701,91,225,416,1542,6664,7184,5774,5082,4886,4860,4730,4503,4224,4150,3721,3298,2939,2556,2394,2297
Franco Nori,SRUYLREAAAAJ,83006,131,733,1291,3622,10475,9396,8180,7373,6892,5778,4974,4122,3559,3119,2484,1803,1786,1509,1387,1212
Kent C Berridge,WIRQRN8AAAAJ,81580,115,213,334,1154,4856,5167,4882,5768,5095,4788,4875,4580,4570,4392,4100,3542,3347,2870,2470,2297
Roderick Little,gj7OdjcAAAAJ,80826,88,221,423,1475,5562,5617,5115,4908,5071,4214,4079,4097,3929,3742,3255,2943,2777,2814,2532,2354
Andrew Eppig,zS-bU6EAAAAJ,79922,95,202,381,566,2519,2961,3493,4972,6858,7292,8550,8650,7667,9120,10498,4355,1186,636,297,0
Nicole B. Ellison,P0XTYBEAAAAJ,79077,67,103,155,1082,5368,5961,6277,6234,6721,7106,7431,6989,6507,5125,4407,3382,2256,1318,714,223
David G Beer,A8ynQbQAAAAJ,77641,111,278,494,3099,10387,10631,9456,7156,5352,4229,3906,3215,3020,2685,2476,1877,1601,1284,947,918
David G. Beer,rfc7NW0AAAAJ,77520,111,277,485,3099,10387,10628,9453,7150,5350,4219,3895,3207,3009,2669,2467,1864,1594,1283,947,918
